x,y
125,7.5
125,47.5
125.8,50.1
128,52
130,52.5
132.9,51.6
142.6,44.7
143.9,44.1
145.5,43.8
158.7,43.8
164.6,44.1
169.1,44.5
174.1,45.5
178.8,46.6
183.6,48.1
188.8,50.1
193.1,52.2
197.5,54.5
202,57.6
206.2,60.8
210.4,64.6
214,68.2
217.2,72
220.2,75.9
222.3,79.2
224.4,82.7
226.2,86.3
228.1,90.5
229.9,95.4
231.1,99.3
232.3,104.5
233,109
233.5,113.4
233.6,117.3
235.5,206.4
235.2,210
233.6,215.2
231.1,219.3
227.9,222.5
224.4,224.7
220.2,226.2
215.5,226.8
210.4,226.2
162,213.5
157.3,212.4
151.5,211.2
147,210.4
142.6,209.8
137.5,209.3
132.9,209
129,208.7
124.2,208.7
118.5,208.8
113.9,209
108.9,209.4
104.2,210
99.6,210.7
94.7,211.6
92.6,212
24.8,226.6
20.6,226.6
16.5,224.7
13.6,221.1
12.8,218.1
12.7,215.9
25.3,80.6
26.6,76.7
29.3,73.6
32.4,72
35.3,71.6
46.8,71.6
51.3,72.6
54.4,75.1
64.3,86.6
66.1,88.3
68.2,89.4
79.1,93.7
83,94.4
86.6,93.6
89,92.1
90.6,90.5
103.2,74.2
105.3,72.6
107.5,72.3
109.2,72.7
111.5,74.8
127.5,103.2
127.5,130
